Wind_speed,Power,Nacelle_ambient_temperature,Generator_bearing_temperature,Gear_oil_temperature,Ambient_temperature,Rotor_Speed,Nacelle_temperature,Generator_speed,Yaw_angle,Wind_direction,Gear_box_inlet_temperature,Bearing_temperature,Wheel_hub_temperature,Failure_status
1.75,4.3,62.91,120.39124999999999,116.51124999999999,66.33,407.43,74.64999999999999,2202.75125,130.53,98.9,27.183749999999996,143.18,117.0,Failure
9.06,2.27,40.0,92.42,81.47,30.66,181.12,36.27,1595.49,60.0,11.06,15.9,70.0,44.84,No_failure
26.84,3.01,1.94,75.34,79.66,-13.09,150.95,60.0,1471.21,30.18,20.0,15.03,70.0,45.08,No_failure
12.53,3.45,40.0,87.29,67.79,10.46,260.71,57.68,1402.28,22.01,66.96,10.0,70.0,36.11,No_failure
17.57,2.84,40.0,85.59,77.65,9.99,157.0,36.28,1455.06,38.35,4.6,13.12,70.0,19.27,No_failure
10.02,3.5,25.91,94.78,56.62,7.18,103.84,55.23,1344.64,19.73,182.62,11.19,70.0,-25.14,No_failure
0.16,4.3,55.12,120.39124999999999,108.43,60.22,411.85125,74.64999999999999,2202.75125,130.53,39.53,27.183749999999996,144.43,108.26,Failure
15.78,2.91,40.0,95.79,90.0,2.32,50.0,45.35,1575.26,19.38,126.36,16.17,70.0,80.0,No_failure
10.22,3.49,12.62,79.91,69.27,40.0,185.99,54.64,1572.32,6.41,54.37,15.32,100.0,28.98,No_failure
13.82,3.41,40.0,74.98,85.67,23.15,200.52,42.18,1522.89,10.14,41.87,11.84,70.0,76.31,No_failure
0.81,4.3,54.7,120.39124999999999,116.51124999999999,67.2875,389.73,74.64999999999999,2202.75125,130.53,95.46,27.183749999999996,135.73,102.67,Failure
17.77,2.99,6.9,92.28,82.81,28.42,195.58,50.42,1497.5,12.73,120.86,14.42,70.0,43.93,No_failure
3.39,3.01,40.0,72.69,68.98,-20.0,147.17,36.15,1630.59,8.88,22.48,12.56,100.0,46.93,No_failure
1.08,4.3,-43.225,120.39124999999999,114.81,67.2875,411.85125,74.64999999999999,2096.57,112.5,41.93,27.183749999999996,133.68,97.97,Failure
3.46,2.74,6.49,79.24,90.0,-20.0,253.13,55.77,1508.26,54.15,15.45,12.33,70.0,27.71,No_failure
3.0,2.48,40.0,71.08,66.0,-0.85,114.47,41.81,1633.02,22.86,29.82,19.6,70.0,51.04,No_failure
30.0,3.5,40.0,70.72,58.49,16.25,281.73,40.74,1662.97,20.73,31.01,14.7,70.0,-13.67,No_failure
18.29,3.21,11.04,91.99,81.99,-5.08,190.94,42.3,1624.59,46.17,0.48,11.88,70.0,17.11,No_failure
20.48,3.06,17.25,91.11,74.94,33.17,240.29,54.1,1409.85,60.0,66.44,12.27,70.0,70.46,No_failure
